sample-id,d__Eukaryota;p__Euglenozoa;c__Euglenida;o__Euglenophyceae;f__Euglenaceae;g__Trachelomonas;s__Trachelomonas_sp.,d__Eukaryota;p__Ochrophyta;c__Chrysophyceae;o__Synurales;f__Synurales;g__Synura;__,d__Eukaryota;p__Ochrophyta;c__Chrysophyceae;o__Synurales;f__Synurales;g__Mallomonas;s__Mallomonas_caudata,d__Eukaryota;p__Chlorophyta;c__Chlorophyceae;o__Chlorophyceae;f__Chlorophyceae;g__Chlorophyceae;s__Haematococcus_lacustris,d__Eukaryota;p__Euglenozoa;c__Euglenida;o__Euglenophyceae;f__Euglenaceae;g__Trachelomonas;__
D22MTP9Exp22022,0,1,2,0,0
D28MTP10Exp12021,0,0,0,1,0
D29MTP10Exp12022,3,0,0,0,0
D28MTP10Exp22021,0,0,0,0,0
D28MTP10Exp32022,0,0,0,0,0
D28MTP11Exp12021,0,0,0,0,0
D29MTP11Exp12022,11,0,0,1,0
D28MTP11Exp22021,0,1,0,0,0
D28MTP12Exp12021,0,0,0,0,0
D29MTP12Exp12022,0,6,0,0,0
D28MTP12Exp22021,0,0,0,0,0
D28MTP12Exp32022,0,0,0,0,0
D28MTP13Exp12021,0,0,0,0,0
D29MTP13Exp12022,0,2,0,0,0
D28MTP13Exp22021,0,4,0,0,0
D28MTP13Exp32022,0,0,0,0,0
D28MTP14Exp12021,0,0,0,0,0
D29MTP14Exp12022,2,1,0,0,0
D28MTP14Exp22021,0,14,0,0,0
D28MTP14Exp32022,0,0,0,0,0
D28MTP15Exp12021,0,0,0,0,0
D29MTP15Exp12022,0,0,0,0,0
D28MTP15Exp22021,0,0,0,0,0
D28MTP15Exp32022,0,0,0,0,0
D28MTP16Exp12021,0,0,0,1,0
D29MTP16Exp12022,0,1,0,0,0
D28MTP16Exp22021,0,2,0,0,0
D28MTP16Exp32022,0,0,0,0,0
D28MTP17Exp12021,0,0,0,0,0
D29MTP17Exp12022,0,3,0,0,0
D28MTP17Exp22021,0,0,0,0,0
D28MTP17Exp32022,0,0,0,0,0
D28MTP18Exp12021,0,0,0,6,0
D29MTP18Exp12022,0,0,0,0,0
D28MTP18Exp22021,0,0,0,0,0
D28MTP18Exp32022,0,0,0,0,0
D28MTP19Exp12021,0,0,0,0,0
D29MTP19Exp12022,0,0,0,0,0
D28MTP19Exp22021,0,2,0,0,0
D28MTP19Exp32022,0,2,0,0,0
D28MTP1Exp12021,0,0,0,0,0
D29MTP1Exp12022,0,0,0,2,0
D28MTP1Exp22021,0,0,0,0,0
D28MTP1Exp32022,0,0,0,0,0
D28MTP20Exp12021,0,0,0,0,0
D29MTP20Exp12022,0,0,0,0,0
D28MTP20Exp22021,0,0,0,0,0
D28MTP20Exp32022,0,0,0,0,0
D28MTP21Exp12021,0,0,0,0,0
D29MTP21Exp12022,0,0,0,0,0
D28MTP21Exp22021,0,0,0,0,0
D28MTP21Exp32022,0,0,0,0,0
D28MTP2Exp12021,0,0,0,0,0
D29MTP2Exp12022,0,6,0,0,0
D28MTP2Exp22021,0,5,0,0,0
D28MTP2Exp32022,0,0,0,0,0
D28MTP3Exp12021,0,0,0,0,0
D29MTP3Exp12022,0,6,0,0,0
D28MTP3Exp22021,0,0,0,0,0
D28MTP3Exp32022,0,0,0,0,0
D28MTP4Exp12021,0,0,0,0,0
D29MTP4Exp12022,0,22,0,0,0
D28MTP4Exp22021,0,0,0,0,0
D28MTP4Exp32022,0,0,0,0,0
D28MTP5Exp12021,0,0,0,0,0
D29MTP5Exp12022,1,0,0,0,3
D28MTP5Exp22021,0,0,0,0,0
D28MTP5Exp32022,0,0,0,2,0
D28MTP7Exp12021,0,0,0,0,0
D29MTP7Exp12022,0,0,0,0,2
D28MTP7Exp22021,0,0,0,0,0
D28MTP7Exp32022,0,0,0,0,0
D28MTP8Exp12021,0,0,0,0,0
D29MTP8Exp12022,0,1,0,0,0
D28MTP8Exp22021,0,7,0,0,0
D28MTP8Exp32022,0,0,0,0,0
D28MTP9Exp12021,0,0,0,0,0
D29MTP9Exp12022,0,2,0,0,0
D28MTP9Exp22021,0,0,0,0,0
D28MTP9Exp32022,0,0,0,0,0
D29MTP10Exp22022,0,0,0,2,0
D29MTP12Exp22022,0,0,0,4,0
D29MTP13Exp22022,0,0,0,3,0
D29MTP14Exp22022,0,0,0,0,0
D29MTP15Exp22022,0,0,0,0,0
D29MTP16Exp22022,0,0,0,0,0
D29MTP18Exp22022,0,0,0,1,0
D29MTP19Exp22022,0,0,0,1,0
D29MTP1Exp22022,0,6,2,0,0
D29MTP20Exp22022,0,2,0,0,0
D29MTP21Exp22022,0,0,0,0,0
D29MTP2Exp22022,0,1,0,0,0
D29MTP3Exp22022,0,1,2,0,0
D29MTP4Exp22022,0,0,0,7,0
D29MTP5Exp22022,0,6,0,2,0
D29MTP6Exp22022,0,2,0,0,0
D29MTP7Exp22022,0,0,0,3,0
D29MTP8Exp22022,0,4,0,1,0
D29MTP9Exp22022,0,0,1,0,0
D7MTP10Exp12021,0,0,0,0,0
D7MTP10Exp12022,5,0,0,0,19
D7MTP10Exp22021,3,0,3,0,0
D7MTP10Exp32022,0,0,1,0,0
D7MTP11Exp12021,1,0,0,0,0
D7MTP11Exp12022,2,3,0,0,2
D7MTP11Exp22021,0,0,0,0,0
D7MTP12Exp12021,0,0,0,0,0
D7MTP12Exp12022,4,21,1,0,1
D7MTP12Exp22021,0,0,0,0,0
D7MTP12Exp32022,0,0,1,0,0
D7MTP13Exp12021,2,0,0,0,0
D7MTP13Exp12022,3,4,0,0,3
D7MTP13Exp22021,0,0,0,0,0
D7MTP13Exp32022,0,0,6,0,0
D7MTP14Exp12021,0,0,0,0,0
D7MTP14Exp12022,2,19,1,0,1
D7MTP14Exp22021,5,0,0,0,0
D7MTP14Exp32022,0,0,11,0,0
D7MTP15Exp12021,1,0,0,0,0
D7MTP15Exp12022,0,19,0,0,0
D7MTP15Exp22021,0,0,0,0,0
D7MTP15Exp32022,0,0,0,0,0
D7MTP16Exp12021,0,0,0,1,0
D7MTP16Exp12022,1,32,1,0,17
D7MTP16Exp22021,2,0,0,0,0
D7MTP16Exp32022,0,0,4,0,0
D7MTP17Exp12021,0,0,0,0,0
D7MTP17Exp12022,0,17,0,0,3
D7MTP17Exp22021,6,0,0,0,0
D7MTP17Exp32022,0,0,1,0,0
D7MTP18Exp12022,0,24,0,0,0
D7MTP18Exp22021,2,0,2,0,0
D7MTP18Exp32022,0,0,2,0,0
D7MTP19Exp12021,0,0,0,0,0
D7MTP19Exp12022,3,26,4,0,3
D7MTP19Exp22021,1,0,2,0,0
D7MTP19Exp32022,0,0,4,0,0
D7MTP1Exp12021,1,0,0,0,0
D7MTP1Exp12022,0,15,0,0,8
D7MTP1Exp22021,0,0,0,0,0
D7MTP1Exp32022,0,0,7,0,0
D7MTP20Exp12021,0,0,4,0,0
D7MTP20Exp12022,0,19,0,0,0
D7MTP20Exp22021,2,0,0,0,0
D7MTP20Exp32022,0,0,1,0,0
D7MTP21Exp12021,2,0,0,0,0
D7MTP21Exp12022,2,18,0,0,3
D7MTP21Exp22021,2,0,0,0,0
D7MTP21Exp32022,0,0,0,0,0
D7MTP2Exp12021,0,0,0,0,0
D7MTP2Exp12022,1,16,0,0,5
D7MTP2Exp22021,4,0,3,0,0
D7MTP2Exp32022,0,0,4,0,0
D7MTP3Exp12021,1,0,0,0,0
D7MTP3Exp12022,1,7,2,0,1
D7MTP3Exp22021,8,0,0,0,0
D7MTP3Exp32022,0,1,9,0,0
D7MTP4Exp12021,0,0,0,0,0
D7MTP4Exp12022,0,37,4,0,6
D7MTP4Exp22021,10,0,0,0,0
D7MTP4Exp32022,1,0,1,0,0
D7MTP5Exp12021,0,0,0,1,0
D7MTP5Exp12022,3,32,0,0,6
D7MTP5Exp22021,0,0,0,0,0
D7MTP5Exp32022,0,0,6,0,0
D7MTP6Exp32022,0,3,16,0,0
D7MTP7Exp12021,0,0,0,0,0
D7MTP7Exp12022,0,14,0,0,2
D7MTP7Exp22021,0,0,0,0,0
D7MTP7Exp32022,0,0,5,0,0
D7MTP8Exp12021,1,0,0,0,0
D7MTP8Exp12022,1,22,2,0,3
D7MTP8Exp22021,0,0,0,0,0
D7MTP8Exp32022,0,0,5,0,0
D7MTP9Exp12021,0,0,0,0,0
D7MTP9Exp12022,0,32,1,0,5
D7MTP9Exp22021,6,0,0,0,0
D7MTP9Exp32022,0,0,4,0,0
D8MTP10Exp22022,6,0,0,0,1
D8MTP12Exp22022,0,0,8,74,0
D8MTP13Exp22022,0,1,0,0,0
D8MTP14Exp22022,0,0,0,24,0
D8MTP15Exp22022,0,0,0,155,1
D8MTP16Exp22022,1,0,0,0,0
D8MTP17Exp22022,0,0,8,1,0
D8MTP18Exp22022,5,0,0,222,0
D8MTP19Exp22022,1,0,4,24,2
D8MTP1Exp22022,2,0,73,0,0
D8MTP20Exp22022,0,1,2,0,0
D8MTP21Exp22022,0,0,9,0,0
D8MTP2Exp22022,0,0,1,0,1
D8MTP3Exp22022,0,0,10,14,0
D8MTP4Exp22022,0,0,0,53,0
D8MTP5Exp22022,0,0,4,39,0
D8MTP6Exp22022,0,0,23,19,0
D8MTP7Exp22022,3,0,30,72,0
D8MTP8Exp22022,0,0,18,29,0
D8MTP9Exp22022,0,0,15,0,0
