Day,Tankno,Experiment,Year,Diluted,DilutionFactor,Ct,CtNum,Replicate,Run,BaselineStart,BaselineEnd,Threshold,Conversion
7,15,3,2021,N,1,NA,51,3,12.22.23,8,20,0.044,-3.51
7,15,3,2021,N,1,47.97181702,47.97181702,4,12.22.23,8,20,0.044,-3.51
7,15,3,2021,N,1,NA,51,5,12.22.23,8,20,0.044,-3.51
7,15,3,2021,N,1,NA,51,6,12.22.23,8,20,0.044,-3.51
7,15,3,2021,N,1,NA,51,7,12.22.23,8,20,0.044,-3.51
7,15,3,2021,N,1,NA,51,8,12.22.23,8,20,0.044,-3.51
7,12,3,2021,N,1,NA,51,1,12.22.23,8,20,0.044,-3.51
7,12,3,2021,N,1,NA,51,2,12.22.23,8,20,0.044,-3.51
7,12,3,2021,N,1,NA,51,3,12.22.23,8,20,0.044,-3.51
7,12,3,2021,N,1,NA,51,4,12.22.23,8,20,0.044,-3.51
7,12,3,2021,N,1,NA,51,5,12.22.23,8,20,0.044,-3.51
7,12,3,2021,N,1,NA,51,6,12.22.23,8,20,0.044,-3.51
7,12,3,2021,N,1,NA,51,7,12.22.23,8,20,0.044,-3.51
7,12,3,2021,N,1,NA,51,8,12.22.23,8,20,0.044,-3.51
16,3,3,2021,N,1,NA,51,1,12.22.23,8,20,0.044,-3.51
16,3,3,2021,N,1,NA,51,2,12.22.23,8,20,0.044,-3.51
16,3,3,2021,N,1,NA,51,3,12.22.23,8,20,0.044,-3.51
16,3,3,2021,N,1,NA,51,4,12.22.23,8,20,0.044,-3.51
16,3,3,2021,N,1,NA,51,5,12.22.23,8,20,0.044,-3.51
16,3,3,2021,N,1,46.84537888,46.84537888,6,12.22.23,8,20,0.044,-3.51
16,3,3,2021,N,1,NA,51,7,12.22.23,8,20,0.044,-3.51
16,3,3,2021,N,1,NA,51,8,12.22.23,8,20,0.044,-3.51
7,1,3,2021,N,1,NA,51,1,12.22.23,8,20,0.044,-3.51
7,1,3,2021,N,1,NA,51,2,12.22.23,8,20,0.044,-3.51
7,1,3,2021,N,1,NA,51,3,12.22.23,8,20,0.044,-3.51
7,1,3,2021,N,1,NA,51,4,12.22.23,8,20,0.044,-3.51
7,1,3,2021,N,1,NA,51,5,12.22.23,8,20,0.044,-3.51
7,1,3,2021,N,1,NA,51,6,12.22.23,8,20,0.044,-3.51
7,1,3,2021,N,1,NA,51,7,12.22.23,8,20,0.044,-3.51
7,1,3,2021,N,1,NA,51,8,12.22.23,8,20,0.044,-3.51
7,6,3,2021,N,1,NA,51,1,12.22.23,8,20,0.044,-3.51
7,6,3,2021,N,1,NA,51,2,12.22.23,8,20,0.044,-3.51
7,6,3,2021,N,1,NA,51,3,12.22.23,8,20,0.044,-3.51
7,6,3,2021,N,1,NA,51,4,12.22.23,8,20,0.044,-3.51
7,6,3,2021,N,1,NA,51,5,12.22.23,8,20,0.044,-3.51
7,6,3,2021,N,1,46.71710205,46.71710205,6,12.22.23,8,20,0.044,-3.51
7,6,3,2021,N,1,49.86689758,49.86689758,7,12.22.23,8,20,0.044,-3.51
7,6,3,2021,N,1,NA,51,8,12.22.23,8,20,0.044,-3.51
7,16,3,2021,N,1,NA,51,1,12.22.23,8,20,0.044,-3.51
7,16,3,2021,N,1,NA,51,2,12.22.23,8,20,0.044,-3.51
7,16,3,2021,N,1,NA,51,3,12.22.23,8,20,0.044,-3.51
7,16,3,2021,N,1,NA,51,4,12.22.23,8,20,0.044,-3.51
7,16,3,2021,N,1,NA,51,5,12.22.23,8,20,0.044,-3.51
7,16,3,2021,N,1,NA,51,6,12.22.23,8,20,0.044,-3.51
7,16,3,2021,N,1,NA,51,7,12.22.23,8,20,0.044,-3.51
7,16,3,2021,N,1,NA,51,8,12.22.23,8,20,0.044,-3.51
7,21,3,2021,N,1,NA,51,1,12.22.23,8,20,0.044,-3.51
7,21,3,2021,N,1,NA,51,2,12.22.23,8,20,0.044,-3.51
7,21,3,2021,N,1,NA,51,3,12.22.23,8,20,0.044,-3.51
7,21,3,2021,N,1,NA,51,4,12.22.23,8,20,0.044,-3.51
7,21,3,2021,N,1,NA,51,5,12.22.23,8,20,0.044,-3.51
7,21,3,2021,N,1,NA,51,6,12.22.23,8,20,0.044,-3.51
