sample.id,Tank,Experiment,Day,Year,ExpYear,sample_date,SampleEvent,treatment_cellsperml,observed_treatment_cellperml,Species,total_density,relative_inoculant_density_percent,d__Eukaryota.p__Euglenozoa.c__Euglenida.o__Euglenophyceae.f__Euglenaceae.g__Trachelomonas.s__Trachelomonas_sp.,d__Eukaryota.p__Ochrophyta.c__Chrysophyceae.o__Synurales.f__Synurales.g__Synura.__,d__Eukaryota.p__Ochrophyta.c__Chrysophyceae.o__Synurales.f__Synurales.g__Mallomonas.s__Mallomonas_caudata,d__Eukaryota.p__Chlorophyta.c__Chlorophyceae.o__Chlorophyceae.f__Chlorophyceae.g__Chlorophyceae.s__Haematococcus_lacustris,d__Eukaryota.p__Euglenozoa.c__Euglenida.o__Euglenophyceae.f__Euglenaceae.g__Trachelomonas.__
D0MTP3Exp12022,3,1,0,2022,12022,6/1/2022,Day0,0,6.555432099,Chrysosphaerella sp.,504.7682716,1.298701299,5,63,3,0,1
D0MTP3Exp22021,3,2,0,2021,22021,7/26/2021,Day0,0,0,Trachelomonas abrupta,6276.51853,0,15,0,8,0,0
D0MTP3Exp32022,3,3,0,2022,32022,9/19/2022,Day0,100,114.2368924,Chrysosphaerella sp.,1494.810892,7.642230399,0,240,16,0,0
D0MTP4Exp12021,4,1,0,2021,12021,6/14/2021,Day0,10,0,Haematococcus pluvialis,2189.958757,0,7,0,17,2,0
D0MTP4Exp12022,4,1,0,2022,12022,6/1/2022,Day0,30,21.02930693,Chrysosphaerella sp.,595.2394232,3.532915682,0,87,2,0,1
D0MTP4Exp22021,4,2,0,2021,22021,7/26/2021,Day0,10,99.8442735,Trachelomonas abrupta,4030.077949,2.477477477,7,0,13,0,0
D0MTP4Exp32022,4,3,0,2022,32022,9/19/2022,Day0,0,0,Chrysosphaerella sp.,1303.440716,0,2,3,28,0,0
D0MTP5Exp12021,5,1,0,2021,12021,6/14/2021,Day0,1,0,Haematococcus pluvialis,469.6192965,0,6,0,16,0,0
D0MTP5Exp12022,5,1,0,2022,12022,6/1/2022,Day0,10,34.18849095,Chrysosphaerella sp.,647.822849,5.277444443,2,60,2,0,4
D0MTP5Exp22021,5,2,0,2021,22021,7/26/2021,Day0,1,0,Trachelomonas abrupta,5611.449876,0,3,0,2,0,0
D0MTP5Exp32022,5,3,0,2022,32022,9/19/2022,Day0,0,0,Chrysosphaerella sp.,1303.042945,0,0,0,18,0,0
D0MTP6Exp32022,6,3,0,2022,32022,9/19/2022,Day0,100,81.52573737,Chrysosphaerella sp.,1223.696064,6.662253788,0,235,18,0,0
D0MTP7Exp12021,7,1,0,2021,12021,6/14/2021,Day0,0,0,Haematococcus pluvialis,173.9624381,0,3,0,9,0,0
D0MTP7Exp12022,7,1,0,2022,12022,6/1/2022,Day0,30,50.47033663,Chrysosphaerella sp.,1099.757349,4.589224768,1,79,2,0,4
