Tank,sample-id,Experiment,Day,Year,ExpYear,sample_date,SampleEvent,treatment_cellsperml,observed_treatment_cellperml,Species,total_density,relative_inoculant_density_percent,TempC,Cond_mS.cm,Salinity_PSU,pH,Turbidity_FNU,DO_mg.L,TChlor_ug.L
13,D28MTP13Exp12021,1,28,2021,12021,7/12/2021,Week4,0,0,Haematococcus pluvialis,856.4354839,0,19.189,188.5,0.09,8.21,10.02,9.09,6.73
14,D0MTP14Exp12021,1,0,2021,12021,6/14/2021,Day0,10,21.12225414,Haematococcus pluvialis,537.444022,3.930131005,18.759,182.1,0.09,7.77,14.98,9.21,5.23
14,D7MTP14Exp12021,1,7,2021,12021,6/21/2021,Week1,10,0,Haematococcus pluvialis,1322.75089,0,19.368,184.4,0.09,8.1,7.04,9.02,8.46
14,D14MTP14Exp12021,1,14,2021,12021,6/28/2021,Week2,10,0,Haematococcus pluvialis,7233.574299,0,19.271,186.5,0.09,8.16,6.53,9.17,10.61
14,D22MTP14Exp12021,1,22,2021,12021,7/6/2021,Week3,10,0,Haematococcus pluvialis,6376.162177,0,19.191,190.6,0.09,8.18,5.71,9.07,10.59
14,D28MTP14Exp12021,1,28,2021,12021,7/12/2021,Week4,10,0,Haematococcus pluvialis,350.3439175,0,19.199,188.6,0.09,8.14,10.68,9.03,7.61
15,D0MTP15Exp12021,1,0,2021,12021,6/14/2021,Day0,1,5.689178571,Haematococcus pluvialis,407.7244643,1.395348837,18.787,182.1,0.09,7.77,14.39,9.19,5.3
15,D7MTP15Exp12021,1,7,2021,12021,6/21/2021,Week1,1,0,Haematococcus pluvialis,1494.930954,0,19.39,183.9,0.09,8.1,8.52,9.07,8.8
15,D14MTP15Exp12021,1,14,2021,12021,6/28/2021,Week2,1,5.244345679,Haematococcus pluvialis,8569.260839,0.06119951,19.289,183.4,0.09,8.13,7.19,9.13,8.28
15,D22MTP15Exp12021,1,22,2021,12021,7/6/2021,Week3,1,0,Haematococcus pluvialis,7787.853333,0,19.199,188.6,0.09,8.1,5.84,9.07,16.52
15,D28MTP15Exp12021,1,28,2021,12021,7/12/2021,Week4,1,0,Haematococcus pluvialis,571.8353846,0,19.229,188.2,0.09,8.13,10.27,9.02,8.41
16,D0MTP16Exp12021,1,0,2021,12021,6/14/2021,Day0,100,18.6040292,Haematococcus pluvialis,209.2953285,8.888888889,18.776,183.2,0.09,7.76,14.61,9.18,5.28
16,D7MTP16Exp12021,1,7,2021,12021,6/21/2021,Week1,100,0,Haematococcus pluvialis,1131.542009,0,19.3,184.3,0.09,8.1,6.93,9.04,5.4
16,D14MTP16Exp12021,1,14,2021,12021,6/28/2021,Week2,100,0,Haematococcus pluvialis,2686.184705,0,19.212,183.8,0.09,8.12,7.47,9.15,7.99
16,D22MTP16Exp12021,1,22,2021,12021,7/6/2021,Week3,100,0,Haematococcus pluvialis,2700.523992,0,19.057,187.6,0.09,8.07,6.07,9.1,11.15
16,D28MTP16Exp12021,1,28,2021,12021,7/12/2021,Week4,100,0,Haematococcus pluvialis,685.4993852,0,18.95,188,0.09,8.15,12.97,9.05,10.77
17,D0MTP17Exp12021,1,0,2021,12021,6/14/2021,Day0,1,3.336062827,Haematococcus pluvialis,633.8519371,0.52631579,18.837,181.9,0.09,7.77,13.5,9.19,5.12
