Day,Tankno,Experiment,Year,Diluted,DilutionFactor,Ct,Replicate,Run,Conversion,VolumeFilteredL
3,15,3,2021,N,1,NA,5,12.1.23,-1.2,1
3,15,3,2021,N,1,NA,6,12.1.23,-1.2,1
3,16,3,2021,N,1,NA,1,12.5.23,0.09,1
3,16,3,2021,N,1,47.96225357,2,12.5.23,0.09,1
3,16,3,2021,N,1,NA,3,12.5.23,0.09,1
3,16,3,2021,N,1,NA,4,12.5.23,0.09,1
3,16,3,2021,N,1,NA,5,12.5.23,0.09,1
3,16,3,2021,N,1,NA,6,12.5.23,0.09,1
3,18,3,2021,N,1,NA,1,1.22.24,-1.66,1
3,18,3,2021,N,1,NA,2,1.22.24,-1.66,1
3,18,3,2021,N,1,NA,3,1.22.24,-1.66,1
3,18,3,2021,N,1,NA,4,1.22.24,-1.66,1
3,18,3,2021,N,1,NA,5,1.22.24,-1.66,1
3,18,3,2021,N,1,NA,6,1.22.24,-1.66,1
3,18,3,2021,N,1,NA,7,1.22.24,-1.66,1
3,18,3,2021,N,1,NA,8,1.22.24,-1.66,1
3,19,3,2021,N,1,NA,1,12.1.23,-1.2,1
3,19,3,2021,N,1,NA,2,12.1.23,-1.2,1
3,19,3,2021,N,1,NA,3,12.1.23,-1.2,1
3,19,3,2021,N,1,NA,4,12.1.23,-1.2,1
3,19,3,2021,N,1,NA,5,12.1.23,-1.2,1
3,19,3,2021,N,1,43.39846802,6,12.1.23,-1.2,1
3,20,3,2021,N,1,NA,1,12.1.23,-1.2,1
3,20,3,2021,N,1,NA,2,12.1.23,-1.2,1
3,20,3,2021,N,1,44.14064407,3,12.1.23,-1.2,1
3,20,3,2021,N,1,NA,4,12.1.23,-1.2,1
3,20,3,2021,N,1,NA,5,12.1.23,-1.2,1
3,20,3,2021,N,1,NA,6,12.1.23,-1.2,1
3,21,3,2021,N,1,NA,1,12.1.23,-1.2,1
3,21,3,2021,N,1,NA,2,12.1.23,-1.2,1
3,21,3,2021,N,1,NA,3,12.1.23,-1.2,1
3,21,3,2021,N,1,NA,4,12.1.23,-1.2,1
3,21,3,2021,N,1,NA,5,12.1.23,-1.2,1
3,21,3,2021,N,1,NA,6,12.1.23,-1.2,1
3,22,3,2021,N,1,NA,1,12.5.23,0.09,1
3,22,3,2021,N,1,NA,2,12.5.23,0.09,1
3,22,3,2021,N,1,NA,3,12.5.23,0.09,1
3,22,3,2021,N,1,NA,4,12.5.23,0.09,1
3,22,3,2021,N,1,NA,5,12.5.23,0.09,1
3,22,3,2021,N,1,NA,6,12.5.23,0.09,1
4,1,3,2021,Y,1,NA,1,12.6.23,-0.35,1
4,1,3,2021,Y,1,NA,2,12.6.23,-0.35,1
4,1,3,2021,Y,1,NA,3,12.6.23,-0.35,1
4,1,3,2021,Y,1,NA,4,12.6.23,-0.35,1
4,1,3,2021,Y,1,NA,5,12.6.23,-0.35,1
4,1,3,2021,Y,1,NA,6,12.6.23,-0.35,1
4,3,3,2021,N,1,NA,1,1.19.24,-1.09,1
4,3,3,2021,N,1,NA,2,1.19.24,-1.09,1
4,3,3,2021,N,1,49.62581635,3,1.19.24,-1.09,1
4,3,3,2021,N,1,46.15756989,4,1.19.24,-1.09,1
4,3,3,2021,N,1,NA,5,1.19.24,-1.09,1
4,3,3,2021,N,1,NA,6,1.19.24,-1.09,1
4,3,3,2021,N,1,NA,7,1.19.24,-1.09,1
4,3,3,2021,N,1,NA,8,1.19.24,-1.09,1
4,4,3,2021,Y,1,NA,1,12.5.23,0.09,1
4,4,3,2021,Y,1,NA,2,12.5.23,0.09,1
4,4,3,2021,Y,1,NA,3,12.5.23,0.09,1
4,4,3,2021,Y,1,NA,4,12.5.23,0.09,1
4,4,3,2021,Y,1,NA,5,12.5.23,0.09,1
4,4,3,2021,Y,1,NA,6,12.5.23,0.09,1
4,5,3,2021,N,1,NA,1,12.5.23,0.09,1
4,5,3,2021,N,1,NA,2,12.5.23,0.09,1
4,5,3,2021,N,1,NA,3,12.5.23,0.09,1
4,5,3,2021,N,1,NA,4,12.5.23,0.09,1
4,5,3,2021,N,1,NA,5,12.5.23,0.09,1
4,5,3,2021,N,1,NA,6,12.5.23,0.09,1
4,6,3,2021,N,1,NA,1,12.5.23,0.09,1
4,6,3,2021,N,1,NA,2,12.5.23,0.09,1
4,6,3,2021,N,1,NA,3,12.5.23,0.09,1
4,6,3,2021,N,1,NA,4,12.5.23,0.09,1
4,6,3,2021,N,1,NA,5,12.5.23,0.09,1
4,6,3,2021,N,1,NA,6,12.5.23,0.09,1
4,7,3,2021,N,1,NA,1,12.5.23,0.09,1
4,7,3,2021,N,1,NA,2,12.5.23,0.09,1
4,7,3,2021,N,1,NA,3,12.5.23,0.09,1
4,7,3,2021,N,1,NA,4,12.5.23,0.09,1
4,7,3,2021,N,1,NA,5,12.5.23,0.09,1
4,7,3,2021,N,1,NA,6,12.5.23,0.09,1
4,8,3,2021,N,1,NA,1,12.5.23,0.09,1
4,8,3,2021,N,1,NA,2,12.5.23,0.09,1
4,8,3,2021,N,1,NA,3,12.5.23,0.09,1
4,8,3,2021,N,1,NA,4,12.5.23,0.09,1
4,8,3,2021,N,1,NA,5,12.5.23,0.09,1
4,8,3,2021,N,1,NA,6,12.5.23,0.09,1
4,9,3,2021,N,1,NA,1,12.12.23,1.22,1
4,9,3,2021,N,1,NA,2,12.12.23,1.22,1
4,9,3,2021,N,1,NA,3,12.12.23,1.22,1
4,9,3,2021,N,1,NA,4,12.12.23,1.22,1
4,9,3,2021,N,1,NA,5,12.12.23,1.22,1
4,9,3,2021,N,1,NA,6,12.12.23,1.22,1
4,10,3,2021,N,1,NA,1,1.19.24,-1.09,1
4,10,3,2021,N,1,NA,2,1.19.24,-1.09,1
4,10,3,2021,N,1,NA,3,1.19.24,-1.09,1
4,10,3,2021,N,1,NA,4,1.19.24,-1.09,1
4,10,3,2021,N,1,NA,5,1.19.24,-1.09,1
4,10,3,2021,N,1,NA,6,1.19.24,-1.09,1
4,10,3,2021,N,1,NA,7,1.19.24,-1.09,1
4,10,3,2021,N,1,NA,8,1.19.24,-1.09,1
4,11,3,2021,N,1,NA,1,1.19.24,-1.09,1
4,11,3,2021,N,1,47.36810684,2,1.19.24,-1.09,1
4,11,3,2021,N,1,NA,3,1.19.24,-1.09,1
4,11,3,2021,N,1,NA,4,1.19.24,-1.09,1
4,11,3,2021,N,1,NA,5,1.19.24,-1.09,1
4,11,3,2021,N,1,48.497509,6,1.19.24,-1.09,1
4,11,3,2021,N,1,NA,7,1.19.24,-1.09,1
4,11,3,2021,N,1,NA,8,1.19.24,-1.09,1
4,12,3,2021,Y,1,NA,1,12.5.23,0.09,1
4,12,3,2021,Y,1,NA,2,12.5.23,0.09,1
4,12,3,2021,Y,1,NA,3,12.5.23,0.09,1
4,12,3,2021,Y,1,NA,4,12.5.23,0.09,1
4,12,3,2021,Y,1,NA,5,12.5.23,0.09,1
4,12,3,2021,Y,1,NA,6,12.5.23,0.09,1
4,14,3,2021,N,1,NA,1,12.5.23,0.09,1
4,14,3,2021,N,1,46.52402878,2,12.5.23,0.09,1
4,14,3,2021,N,1,NA,3,12.5.23,0.09,1
4,14,3,2021,N,1,NA,4,12.5.23,0.09,1
4,14,3,2021,N,1,NA,5,12.5.23,0.09,1
4,14,3,2021,N,1,NA,6,12.5.23,0.09,1
4,15,3,2021,N,1,NA,1,12.5.23,0.09,1
4,15,3,2021,N,1,NA,2,12.5.23,0.09,1
4,15,3,2021,N,1,48.93653107,3,12.5.23,0.09,1
4,15,3,2021,N,1,NA,4,12.5.23,0.09,1
4,15,3,2021,N,1,NA,5,12.5.23,0.09,1
4,15,3,2021,N,1,NA,6,12.5.23,0.09,1
4,16,3,2021,Y,2.94,36.57308578,1,12.6.23,-0.35,1
4,16,3,2021,Y,2.94,NA,2,12.6.23,-0.35,1
4,16,3,2021,Y,2.94,NA,3,12.6.23,-0.35,1
4,16,3,2021,Y,2.94,NA,4,12.6.23,-0.35,1
4,16,3,2021,Y,2.94,NA,5,12.6.23,-0.35,1
4,16,3,2021,Y,2.94,NA,6,12.6.23,-0.35,1
4,18,3,2021,N,1,NA,1,1.19.24,-1.09,1
4,18,3,2021,N,1,NA,2,1.19.24,-1.09,1
4,18,3,2021,N,1,NA,3,1.19.24,-1.09,1
4,18,3,2021,N,1,NA,4,1.19.24,-1.09,1
4,18,3,2021,N,1,NA,5,1.19.24,-1.09,1
4,18,3,2021,N,1,48.8478508,6,1.19.24,-1.09,1
4,18,3,2021,N,1,37.94641113,7,1.19.24,-1.09,1
4,18,3,2021,N,1,49.8674736,8,1.19.24,-1.09,1
4,19,3,2021,N,1,NA,1,12.5.23,0.09,1
4,19,3,2021,N,1,NA,2,12.5.23,0.09,1
4,19,3,2021,N,1,NA,3,12.5.23,0.09,1
4,19,3,2021,N,1,NA,4,12.5.23,0.09,1
4,19,3,2021,N,1,NA,5,12.5.23,0.09,1
4,19,3,2021,N,1,48.57849884,6,12.5.23,0.09,1
4,20,3,2021,N,1,NA,1,12.5.23,0.09,1
4,20,3,2021,N,1,NA,2,12.5.23,0.09,1
4,20,3,2021,N,1,NA,3,12.5.23,0.09,1
